idx,tx_id,tx_type,repair_type,table_type,duration_ms,count,read_ts,from_ts,to_ts
12,12,HistoryScan,Write Repair,heap,604.15856,,5.0,,
13,13,DeltaScan,No Repair,heap,1567.867521,,,5.0,10.0
13,13,DeltaScan,Read Repair,heap,1568.587972,,,5.0,10.0
13,13,DeltaScan,Write Repair,heap,1595.008335,,,5.0,10.0
14,14,DeltaScan,No Repair,heap,1575.517481,,,5.0,10.0
14,14,DeltaScan,Read Repair,heap,1577.038167,,,5.0,10.0
14,14,DeltaScan,Write Repair,heap,1611.394637,,,5.0,10.0
15,15,Probe,No Repair,heap,385.616776,105.0,10.0,,
15,15,Probe,Read Repair,heap,407.20443,105.0,10.0,,
15,15,Probe,Write Repair,heap,439.897693,105.0,10.0,,
16,16,GbgCollect,No Repair,heap,491.248146,,5.0,,
16,16,GbgCollect,Read Repair,heap,508.571854,,5.0,,
16,16,GbgCollect,Write Repair,heap,516.943195,,5.0,,
0,0,InitLoad,No Repair,par,787.603774,1050000.0,,,
0,0,InitLoad,Read Repair,par,780.184265,1050000.0,,,
0,0,InitLoad,Write Repair,par,797.920018,1050000.0,,,
1,1,Update,No Repair,par,18.920683,21000.0,,,
1,1,Update,Read Repair,par,18.473357,21000.0,,,
1,1,Update,Write Repair,par,130.545409,21000.0,,,
2,2,Update,No Repair,par,19.920123,21000.0,,,
2,2,Update,Read Repair,par,19.974462,21000.0,,,
2,2,Update,Write Repair,par,120.720121,21000.0,,,
3,3,Update,No Repair,par,20.910749,21000.0,,,
3,3,Update,Read Repair,par,20.089293,21000.0,,,
3,3,Update,Write Repair,par,122.533422,21000.0,,,
4,4,Update,No Repair,par,20.08507,21000.0,,,
4,4,Update,Read Repair,par,19.615915,21000.0,,,
4,4,Update,Write Repair,par,124.441115,21000.0,,,
5,5,MarkTs,No Repair,par,9.415431,,5.0,,
5,5,MarkTs,Read Repair,par,9.51721,,5.0,,
5,5,MarkTs,Write Repair,par,9.705395,,5.0,,
6,6,RecentScan,No Repair,par,1012.703697,,6.0,,
6,6,RecentScan,Read Repair,par,1507.8189989999998,,6.0,,
6,6,RecentScan,Write Repair,par,582.875277,,6.0,,
7,7,RecentScan,No Repair,par,1023.7451799999999,,7.0,,
7,7,RecentScan,Read Repair,par,575.184628,,7.0,,
7,7,RecentScan,Write Repair,par,575.478958,,7.0,,
8,8,Update,No Repair,par,17.369147,21000.0,,,
8,8,Update,Read Repair,par,16.869724,21000.0,,,
8,8,Update,Write Repair,par,122.32454,21000.0,,,
9,9,Update,No Repair,par,19.637956,21000.0,,,
9,9,Update,Read Repair,par,18.030396,21000.0,,,
9,9,Update,Write Repair,par,126.474618,21000.0,,,
10,10,MarkTs,No Repair,par,9.861052,,10.0,,
10,10,MarkTs,Read Repair,par,9.592322,,10.0,,
10,10,MarkTs,Write Repair,par,9.812766,,10.0,,
11,11,RecentScan,No Repair,par,1028.5995249999999,,11.0,,
11,11,RecentScan,Read Repair,par,1508.561197,,11.0,,
11,11,RecentScan,Write Repair,par,572.168189,,11.0,,
12,12,HistoryScan,No Repair,par,1011.4707579999999,,5.0,,
12,12,HistoryScan,Read Repair,par,572.967739,,5.0,,
12,12,HistoryScan,Write Repair,par,568.62634,,5.0,,
13,13,DeltaScan,No Repair,par,40.734678,,,5.0,10.0
13,13,DeltaScan,Read Repair,par,34.858208,,,5.0,10.0
13,13,DeltaScan,Write Repair,par,34.900946,,,5.0,10.0
14,14,DeltaScan,No Repair,par,36.1209,,,5.0,10.0
14,14,DeltaScan,Read Repair,par,38.878679,,,5.0,10.0
14,14,DeltaScan,Write Repair,par,34.885231,,,5.0,10.0
15,15,Probe,No Repair,par,386.695956,105.0,10.0,,
15,15,Probe,Read Repair,par,368.674931,105.0,10.0,,
15,15,Probe,Write Repair,par,370.840466,105.0,10.0,,
16,16,GbgCollect,No Repair,par,498.335534,,5.0,,
16,16,GbgCollect,Read Repair,par,472.757391,,5.0,,
16,16,GbgCollect,Write Repair,par,473.036148,,5.0,,
0,0,InitLoad,No Repair,chain,732.567282,1050000.0,,,
0,0,InitLoad,Read Repair,chain,739.861592,1050000.0,,,
0,0,InitLoad,Write Repair,chain,737.917898,1050000.0,,,
1,1,Update,No Repair,chain,130.986038,21000.0,,,
1,1,Update,Read Repair,chain,131.467652,21000.0,,,
1,1,Update,Write Repair,chain,165.01353,21000.0,,,
2,2,Update,No Repair,chain,132.541149,21000.0,,,
2,2,Update,Read Repair,chain,132.554293,21000.0,,,
2,2,Update,Write Repair,chain,164.032218,21000.0,,,
3,3,Update,No Repair,chain,132.547856,21000.0,,,
3,3,Update,Read Repair,chain,152.029339,21000.0,,,
3,3,Update,Write Repair,chain,174.771452,21000.0,,,
4,4,Update,No Repair,chain,155.542951,21000.0,,,
4,4,Update,Read Repair,chain,132.96097,21000.0,,,
4,4,Update,Write Repair,chain,179.661872,21000.0,,,
5,5,MarkTs,No Repair,chain,0.0011020000000000001,,5.0,,
5,5,MarkTs,Read Repair,chain,0.0,,5.0,,
5,5,MarkTs,Write Repair,chain,0.0,,5.0,,
6,6,RecentScan,No Repair,chain,659.673101,,6.0,,
6,6,RecentScan,Read Repair,chain,661.866857,,6.0,,
6,6,RecentScan,Write Repair,chain,585.588955,,6.0,,
7,7,RecentScan,No Repair,chain,662.71906,,7.0,,
7,7,RecentScan,Read Repair,chain,664.094711,,7.0,,
7,7,RecentScan,Write Repair,chain,587.384044,,7.0,,
8,8,Update,No Repair,chain,159.259445,21000.0,,,
8,8,Update,Read Repair,chain,132.341094,21000.0,,,
8,8,Update,Write Repair,chain,170.002397,21000.0,,,
9,9,Update,No Repair,chain,162.086276,21000.0,,,
9,9,Update,Read Repair,chain,151.86342,21000.0,,,
9,9,Update,Write Repair,chain,131.185866,21000.0,,,
10,10,MarkTs,No Repair,chain,0.0,,10.0,,
10,10,MarkTs,Read Repair,chain,0.0,,10.0,,
10,10,MarkTs,Write Repair,chain,0.0,,10.0,,
11,11,RecentScan,No Repair,chain,691.069056,,11.0,,
11,11,RecentScan,Read Repair,chain,571.645579,,11.0,,
11,11,RecentScan,Write Repair,chain,577.333337,,11.0,,
12,12,HistoryScan,No Repair,chain,688.413925,,5.0,,
12,12,HistoryScan,Read Repair,chain,595.07769,,5.0,,
12,12,HistoryScan,Write Repair,chain,589.946142,,5.0,,
13,13,DeltaScan,No Repair,chain,1402.3319199999999,,,5.0,10.0
13,13,DeltaScan,Read Repair,chain,1372.1521249999998,,,5.0,10.0
13,13,DeltaScan,Write Repair,chain,1373.2534460000002,,,5.0,10.0
14,14,DeltaScan,No Repair,chain,1377.317362,,,5.0,10.0
14,14,DeltaScan,Read Repair,chain,1396.28876,,,5.0,10.0
14,14,DeltaScan,Write Repair,chain,1368.8890629999999,,,5.0,10.0
15,15,Probe,No Repair,chain,201.824394,105.0,10.0,,
15,15,Probe,Read Repair,chain,205.366474,105.0,10.0,,
15,15,Probe,Write Repair,chain,204.392529,105.0,10.0,,
16,16,GbgCollect,No Repair,chain,1.301944,,5.0,,
16,16,GbgCollect,Read Repair,chain,1.234713,,5.0,,
16,16,GbgCollect,Write Repair,chain,1.254468,,5.0,,
